starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 11:08:22 2021	1638164302	15	1	16	1
Mon Nov 29 11:08:22 2021	1638164302	18	1	19	1
Mon Nov 29 11:08:22 2021	1638164302	19	1	19	1
Mon Nov 29 11:08:22 2021	1638164302	19	2	21	2
Mon Nov 29 11:08:22 2021	1638164302	22	0	23	0
Mon Nov 29 11:08:22 2021	1638164302	23	1	23	1
Mon Nov 29 11:08:22 2021	1638164302	23	1	24	1
Mon Nov 29 11:08:23 2021	1638164303	24	1	25	1
Mon Nov 29 11:08:22 2021	1638164302	25	1	25	1
Mon Nov 29 11:08:22 2021	1638164302	25	1	26	0
Mon Nov 29 11:08:22 2021	1638164302	25	1	26	1
Mon Nov 29 11:08:22 2021	1638164302	27	1	27	1
Mon Nov 29 11:08:22 2021	1638164302	27	1	28	1
Mon Nov 29 11:08:22 2021	1638164302	27	0	28	0
Mon Nov 29 11:08:23 2021	1638164303	24	5	28	5
Mon Nov 29 11:08:22 2021	1638164302	28	1	29	1
Mon Nov 29 11:08:22 2021	1638164302	28	1	29	0
Mon Nov 29 11:08:22 2021	1638164302	29	0	29	0
Mon Nov 29 11:08:23 2021	1638164303	27	3	29	3
Mon Nov 29 11:08:22 2021	1638164302	29	1	30	1
Mon Nov 29 11:08:22 2021	1638164302	30	1	31	1
Mon Nov 29 11:08:22 2021	1638164302	29	3	31	2
Mon Nov 29 11:08:22 2021	1638164302	30	1	31	1
Mon Nov 29 11:08:22 2021	1638164302	29	2	31	2
Mon Nov 29 11:08:23 2021	1638164303	31	1	31	1
Mon Nov 29 11:08:22 2021	1638164302	31	1	32	1
Mon Nov 29 11:08:22 2021	1638164302	31	1	32	1
Mon Nov 29 11:08:22 2021	1638164302	31	1	32	1
Mon Nov 29 11:08:22 2021	1638164302	32	0	32	0
Mon Nov 29 11:08:23 2021	1638164303	32	1	32	0
Mon Nov 29 11:08:22 2021	1638164302	32	1	32	1
Mon Nov 29 11:08:22 2021	1638164302	32	1	32	1
Mon Nov 29 11:08:23 2021	1638164303	32	1	33	1
Mon Nov 29 11:08:22 2021	1638164302	32	0	33	0
Mon Nov 29 11:08:22 2021	1638164302	31	2	33	2
Mon Nov 29 11:08:23 2021	1638164303	32	1	33	1
Mon Nov 29 11:08:23 2021	1638164303	32	1	33	1
Mon Nov 29 11:08:23 2021	1638164303	24	9	33	8
Mon Nov 29 11:08:22 2021	1638164302	32	1	33	1
Mon Nov 29 11:08:22 2021	1638164302	33	0	33	0
Mon Nov 29 11:08:22 2021	1638164302	33	1	33	0
Mon Nov 29 11:08:22 2021	1638164302	32	2	34	2
Mon Nov 29 11:08:22 2021	1638164302	32	2	34	2
Mon Nov 29 11:08:22 2021	1638164302	33	1	34	1
Mon Nov 29 11:08:22 2021	1638164302	33	1	34	1
