starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 08:37:06 2021	1638155226	19	7	26	3
Mon Nov 29 08:37:06 2021	1638155226	34	1	35	1
Mon Nov 29 08:37:06 2021	1638155226	34	1	35	1
Mon Nov 29 08:37:07 2021	1638155227	35	1	36	0
Mon Nov 29 08:37:07 2021	1638155227	35	1	36	1
Mon Nov 29 08:37:07 2021	1638155227	35	1	36	1
Mon Nov 29 08:37:07 2021	1638155227	36	1	36	1
Mon Nov 29 08:37:07 2021	1638155227	36	1	37	1
Mon Nov 29 08:37:07 2021	1638155227	36	2	38	1
Mon Nov 29 08:37:07 2021	1638155227	38	1	38	0
Mon Nov 29 08:37:06 2021	1638155226	38	1	38	1
Mon Nov 29 08:37:07 2021	1638155227	37	1	38	1
Mon Nov 29 08:37:06 2021	1638155226	39	1	39	0
Mon Nov 29 08:37:06 2021	1638155226	39	1	39	0
Mon Nov 29 08:37:07 2021	1638155227	39	1	39	0
Mon Nov 29 08:37:07 2021	1638155227	38	2	40	1
Mon Nov 29 08:37:06 2021	1638155226	39	1	40	1
Mon Nov 29 08:37:07 2021	1638155227	39	1	40	1
Mon Nov 29 08:37:06 2021	1638155226	40	1	40	1
Mon Nov 29 08:37:07 2021	1638155227	39	1	40	1
Mon Nov 29 08:37:06 2021	1638155226	36	4	40	4
Mon Nov 29 08:37:06 2021	1638155226	39	1	40	1
Mon Nov 29 08:37:06 2021	1638155226	37	4	40	4
Mon Nov 29 08:37:07 2021	1638155227	39	1	41	1
Mon Nov 29 08:37:07 2021	1638155227	40	1	41	0
Mon Nov 29 08:37:06 2021	1638155226	37	4	41	4
Mon Nov 29 08:37:06 2021	1638155226	37	4	41	4
Mon Nov 29 08:37:07 2021	1638155227	35	5	41	5
Mon Nov 29 08:37:06 2021	1638155226	41	1	41	1
Mon Nov 29 08:37:06 2021	1638155226	41	1	42	1
Mon Nov 29 08:37:06 2021	1638155226	41	1	42	1
Mon Nov 29 08:37:07 2021	1638155227	41	1	42	1
Mon Nov 29 08:37:07 2021	1638155227	41	1	42	1
Mon Nov 29 08:37:07 2021	1638155227	41	1	42	1
Mon Nov 29 08:37:06 2021	1638155226	42	1	43	0
Mon Nov 29 08:37:07 2021	1638155227	42	0	43	0
Mon Nov 29 08:37:06 2021	1638155226	43	1	43	1
Mon Nov 29 08:37:06 2021	1638155226	43	1	43	1
Mon Nov 29 08:37:07 2021	1638155227	42	1	44	1
Mon Nov 29 08:37:07 2021	1638155227	43	1	44	0
Mon Nov 29 08:37:07 2021	1638155227	43	1	44	1
Mon Nov 29 08:37:06 2021	1638155226	43	1	44	1
Mon Nov 29 08:37:07 2021	1638155227	43	1	44	1
Mon Nov 29 08:37:07 2021	1638155227	43	1	44	1
Mon Nov 29 08:37:07 2021	1638155227	43	1	44	1
Mon Nov 29 08:37:07 2021	1638155227	44	1	45	1
Mon Nov 29 08:37:06 2021	1638155226	44	1	45	1
Mon Nov 29 08:37:07 2021	1638155227	44	1	45	1
Mon Nov 29 08:37:07 2021	1638155227	44	2	45	2
Mon Nov 29 08:37:07 2021	1638155227	45	1	45	0
Mon Nov 29 08:37:07 2021	1638155227	45	1	45	0
Mon Nov 29 08:37:06 2021	1638155226	45	1	46	1
Mon Nov 29 08:37:07 2021	1638155227	45	1	46	1
Mon Nov 29 08:37:07 2021	1638155227	45	1	46	1
Mon Nov 29 08:37:06 2021	1638155226	44	2	46	2
Mon Nov 29 08:37:06 2021	1638155226	45	1	46	1
Mon Nov 29 08:37:07 2021	1638155227	41	5	46	5
Mon Nov 29 08:37:06 2021	1638155226	45	1	46	1
Mon Nov 29 08:37:07 2021	1638155227	45	1	46	1
Mon Nov 29 08:37:07 2021	1638155227	45	1	46	1
Mon Nov 29 08:37:07 2021	1638155227	46	1	47	1
Mon Nov 29 08:37:06 2021	1638155226	41	6	47	6
Mon Nov 29 08:37:07 2021	1638155227	46	1	47	1
Mon Nov 29 08:37:07 2021	1638155227	46	1	47	0
Mon Nov 29 08:37:07 2021	1638155227	45	2	47	2
Mon Nov 29 08:37:07 2021	1638155227	46	1	47	1
Mon Nov 29 08:37:07 2021	1638155227	46	1	47	1
Mon Nov 29 08:37:07 2021	1638155227	46	1	47	1
Mon Nov 29 08:37:07 2021	1638155227	47	1	47	1
Mon Nov 29 08:37:07 2021	1638155227	47	1	48	1
Mon Nov 29 08:37:07 2021	1638155227	47	1	48	1
Mon Nov 29 08:37:06 2021	1638155226	47	1	48	1
Mon Nov 29 08:37:06 2021	1638155226	47	1	48	1
Mon Nov 29 08:37:07 2021	1638155227	47	1	48	1
Mon Nov 29 08:37:07 2021	1638155227	48	1	49	0
Mon Nov 29 08:37:07 2021	1638155227	48	1	49	1
Mon Nov 29 08:37:07 2021	1638155227	48	1	49	1
Mon Nov 29 08:37:07 2021	1638155227	48	1	49	1
Mon Nov 29 08:37:06 2021	1638155226	48	1	49	1
Mon Nov 29 08:37:07 2021	1638155227	49	1	49	1
Mon Nov 29 08:37:06 2021	1638155226	34	15	49	15
Mon Nov 29 08:37:07 2021	1638155227	48	1	50	1
Mon Nov 29 08:37:06 2021	1638155226	49	1	50	1
Mon Nov 29 08:37:07 2021	1638155227	50	1	51	1
Mon Nov 29 08:37:07 2021	1638155227	50	1	51	1
Mon Nov 29 08:37:07 2021	1638155227	49	2	51	2
Mon Nov 29 08:37:07 2021	1638155227	30	20	51	19
Mon Nov 29 08:37:07 2021	1638155227	50	1	51	1
Mon Nov 29 08:37:07 2021	1638155227	50	1	51	1
Mon Nov 29 08:37:07 2021	1638155227	50	1	51	1
