starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 02:45:41 2021	1638134141	31	27	58	20
Mon Nov 29 02:45:43 2021	1638134143	89	3	91	2
Mon Nov 29 02:45:42 2021	1638134142	109	1	110	1
Mon Nov 29 02:45:43 2021	1638134143	105	7	112	7
Mon Nov 29 02:45:43 2021	1638134143	118	1	119	1
Mon Nov 29 02:45:42 2021	1638134142	120	3	123	3
Mon Nov 29 02:45:42 2021	1638134142	124	1	125	1
Mon Nov 29 02:45:42 2021	1638134142	121	4	126	2
Mon Nov 29 02:45:42 2021	1638134142	124	3	126	2
Mon Nov 29 02:45:42 2021	1638134142	125	3	128	3
Mon Nov 29 02:45:43 2021	1638134143	127	2	128	1
Mon Nov 29 02:45:43 2021	1638134143	131	1	132	1
Mon Nov 29 02:45:43 2021	1638134143	125	8	133	8
Mon Nov 29 02:45:43 2021	1638134143	133	2	136	2
Mon Nov 29 02:45:43 2021	1638134143	129	8	137	8
Mon Nov 29 02:45:43 2021	1638134143	140	1	141	1
Mon Nov 29 02:45:42 2021	1638134142	143	1	144	1
Mon Nov 29 02:45:42 2021	1638134142	144	1	145	1
Mon Nov 29 02:45:42 2021	1638134142	145	1	146	1
Mon Nov 29 02:45:43 2021	1638134143	135	11	146	4
Mon Nov 29 02:45:43 2021	1638134143	146	4	150	4
Mon Nov 29 02:45:42 2021	1638134142	153	2	155	2
Mon Nov 29 02:45:42 2021	1638134142	153	2	155	2
Mon Nov 29 02:45:43 2021	1638134143	96	59	155	59
Mon Nov 29 02:45:42 2021	1638134142	155	2	157	2
Mon Nov 29 02:45:43 2021	1638134143	80	78	158	78
Mon Nov 29 02:45:42 2021	1638134142	151	8	159	8
Mon Nov 29 02:45:42 2021	1638134142	157	2	160	2
Mon Nov 29 02:45:43 2021	1638134143	112	52	164	42
Mon Nov 29 02:45:43 2021	1638134143	122	42	164	39
Mon Nov 29 02:45:43 2021	1638134143	158	7	166	7
Mon Nov 29 02:45:42 2021	1638134142	164	2	166	2
Mon Nov 29 02:45:43 2021	1638134143	110	59	169	59
Mon Nov 29 02:45:42 2021	1638134142	167	2	169	2
Mon Nov 29 02:45:42 2021	1638134142	168	2	169	2
