starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 07:59:59 2021	1638152999	40	8	47	7
Mon Nov 29 07:59:59 2021	1638152999	76	4	80	4
Mon Nov 29 07:59:59 2021	1638152999	98	7	105	6
Mon Nov 29 07:59:59 2021	1638152999	102	8	110	7
Mon Nov 29 07:59:59 2021	1638152999	136	3	139	2
Mon Nov 29 07:59:59 2021	1638152999	141	5	146	5
Mon Nov 29 07:59:59 2021	1638152999	143	4	147	3
Mon Nov 29 07:59:59 2021	1638152999	170	1	172	1
Mon Nov 29 07:59:59 2021	1638152999	171	1	172	0
Mon Nov 29 07:59:59 2021	1638152999	181	2	183	1
Mon Nov 29 07:59:59 2021	1638152999	110	87	197	86
Mon Nov 29 07:59:59 2021	1638152999	110	89	199	88
Mon Nov 29 07:59:59 2021	1638152999	110	90	200	89
Mon Nov 29 07:59:59 2021	1638152999	110	91	201	91
Mon Nov 29 08:00:01 2021	1638153001	205	3	209	3
Mon Nov 29 07:59:59 2021	1638152999	181	28	209	27
Mon Nov 29 08:00:01 2021	1638153001	215	20	236	20
Mon Nov 29 08:00:02 2021	1638153002	189	57	246	57
Mon Nov 29 08:00:00 2021	1638153000	247	1	248	1
Mon Nov 29 08:00:01 2021	1638153001	202	47	250	47
Mon Nov 29 07:59:59 2021	1638152999	250	1	251	0
Mon Nov 29 08:00:01 2021	1638153001	199	53	252	53
Mon Nov 29 08:00:00 2021	1638153000	214	39	254	39
Mon Nov 29 08:00:01 2021	1638153001	260	2	263	2
Mon Nov 29 08:00:02 2021	1638153002	233	30	263	30
Mon Nov 29 07:59:59 2021	1638152999	262	1	263	0
Mon Nov 29 07:59:59 2021	1638152999	190	78	268	78
Mon Nov 29 08:00:02 2021	1638153002	266	2	268	1
Mon Nov 29 08:00:01 2021	1638153001	267	1	268	1
Mon Nov 29 08:00:00 2021	1638153000	275	1	276	1
Mon Nov 29 07:59:59 2021	1638152999	278	1	279	1
Mon Nov 29 07:59:59 2021	1638152999	282	1	283	0
Mon Nov 29 08:00:01 2021	1638153001	247	36	283	36
Mon Nov 29 08:00:00 2021	1638153000	220	64	284	64
Mon Nov 29 08:00:01 2021	1638153001	242	43	285	43
Mon Nov 29 08:00:01 2021	1638153001	275	10	285	9
Mon Nov 29 08:00:01 2021	1638153001	279	10	289	10
Mon Nov 29 08:00:00 2021	1638153000	288	2	290	1
Mon Nov 29 08:00:02 2021	1638153002	228	62	290	62
Mon Nov 29 07:59:59 2021	1638152999	272	19	291	19
Mon Nov 29 08:00:00 2021	1638153000	228	65	294	65
Mon Nov 29 08:00:01 2021	1638153001	203	91	294	90
Mon Nov 29 08:00:00 2021	1638153000	275	24	299	24
Mon Nov 29 07:59:59 2021	1638152999	272	28	300	27
Mon Nov 29 08:00:02 2021	1638153002	251	49	301	49
Mon Nov 29 08:00:02 2021	1638153002	268	34	301	33
Mon Nov 29 08:00:01 2021	1638153001	241	61	302	60
Mon Nov 29 08:00:00 2021	1638153000	301	1	302	1
Mon Nov 29 08:00:00 2021	1638153000	302	1	303	0
Mon Nov 29 08:00:01 2021	1638153001	259	46	304	45
Mon Nov 29 08:00:01 2021	1638153001	241	64	305	63
Mon Nov 29 07:59:59 2021	1638152999	291	15	306	14
Mon Nov 29 08:00:00 2021	1638153000	242	68	310	67
Mon Nov 29 08:00:01 2021	1638153001	261	51	312	50
Mon Nov 29 08:00:02 2021	1638153002	227	85	313	85
Mon Nov 29 08:00:01 2021	1638153001	309	4	313	4
Mon Nov 29 08:00:00 2021	1638153000	323	1	324	1
Mon Nov 29 08:00:00 2021	1638153000	248	77	325	75
Mon Nov 29 08:00:00 2021	1638153000	324	1	325	0
Mon Nov 29 08:00:02 2021	1638153002	250	78	328	78
Mon Nov 29 08:00:01 2021	1638153001	252	77	328	76
Mon Nov 29 08:00:00 2021	1638153000	329	2	331	1
Mon Nov 29 08:00:01 2021	1638153001	216	117	333	117
Mon Nov 29 07:59:59 2021	1638152999	337	1	338	1
Mon Nov 29 08:00:00 2021	1638153000	247	93	340	93
Mon Nov 29 08:00:01 2021	1638153001	260	83	343	82
Mon Nov 29 07:59:59 2021	1638152999	192	153	345	151
Mon Nov 29 08:00:01 2021	1638153001	242	103	345	103
Mon Nov 29 08:00:00 2021	1638153000	297	55	352	54
Mon Nov 29 08:00:00 2021	1638153000	329	26	355	25
Mon Nov 29 08:00:00 2021	1638153000	316	41	357	40
Mon Nov 29 07:59:59 2021	1638152999	306	63	370	63
Mon Nov 29 08:00:00 2021	1638153000	209	161	370	160
Mon Nov 29 07:59:59 2021	1638152999	369	2	371	2
Mon Nov 29 07:59:59 2021	1638152999	302	70	372	69
Mon Nov 29 08:00:01 2021	1638153001	262	111	373	111
Mon Nov 29 08:00:01 2021	1638153001	316	63	379	62
Mon Nov 29 08:00:01 2021	1638153001	247	133	381	133
Mon Nov 29 07:59:59 2021	1638152999	378	4	381	3
Mon Nov 29 08:00:00 2021	1638153000	301	81	382	80
Mon Nov 29 08:00:00 2021	1638153000	381	1	382	0
Mon Nov 29 08:00:00 2021	1638153000	384	2	386	1
Mon Nov 29 08:00:01 2021	1638153001	259	131	390	130
Mon Nov 29 08:00:01 2021	1638153001	313	81	394	79
Mon Nov 29 08:00:01 2021	1638153001	327	68	395	67
Mon Nov 29 08:00:01 2021	1638153001	308	96	404	95
Mon Nov 29 08:00:01 2021	1638153001	246	159	405	159
Mon Nov 29 08:00:00 2021	1638153000	404	1	405	1
Mon Nov 29 08:00:00 2021	1638153000	406	1	407	1
Mon Nov 29 08:00:00 2021	1638153000	326	94	421	94
Mon Nov 29 08:00:01 2021	1638153001	303	118	421	118
Mon Nov 29 07:59:59 2021	1638152999	360	65	424	64
Mon Nov 29 07:59:59 2021	1638152999	355	98	453	96
Mon Nov 29 07:59:59 2021	1638152999	453	1	455	1
Mon Nov 29 08:00:01 2021	1638153001	303	168	471	163
Mon Nov 29 07:59:59 2021	1638152999	355	144	499	143
Mon Nov 29 08:00:00 2021	1638153000	316	187	503	187
Mon Nov 29 07:59:59 2021	1638152999	455	66	520	65
Mon Nov 29 07:59:59 2021	1638152999	452	75	527	74
Mon Nov 29 07:59:59 2021	1638152999	451	76	527	75
