starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 11:11:12 2021	1638164472	83	3	86	2
Mon Nov 29 11:11:12 2021	1638164472	84	1	86	1
Mon Nov 29 11:11:13 2021	1638164473	85	1	86	1
Mon Nov 29 11:11:13 2021	1638164473	84	2	86	1
Mon Nov 29 11:11:12 2021	1638164472	55	32	86	32
Mon Nov 29 11:11:11 2021	1638164471	51	35	86	35
Mon Nov 29 11:11:11 2021	1638164471	51	35	87	35
Mon Nov 29 11:11:10 2021	1638164470	43	44	87	39
Mon Nov 29 11:11:11 2021	1638164471	80	8	87	7
Mon Nov 29 11:11:11 2021	1638164471	57	31	88	30
Mon Nov 29 11:11:11 2021	1638164471	52	36	88	36
Mon Nov 29 11:11:13 2021	1638164473	87	1	88	1
Mon Nov 29 11:11:11 2021	1638164471	73	16	89	16
Mon Nov 29 11:11:13 2021	1638164473	60	29	89	29
Mon Nov 29 11:11:12 2021	1638164472	56	33	89	26
Mon Nov 29 11:11:10 2021	1638164470	58	32	89	30
Mon Nov 29 11:11:13 2021	1638164473	49	40	89	40
Mon Nov 29 11:11:12 2021	1638164472	56	34	89	26
Mon Nov 29 11:11:11 2021	1638164471	88	2	90	2
Mon Nov 29 11:11:10 2021	1638164470	51	39	90	36
Mon Nov 29 11:11:11 2021	1638164471	49	42	91	29
Mon Nov 29 11:11:12 2021	1638164472	66	25	91	25
Mon Nov 29 11:11:13 2021	1638164473	62	29	92	29
Mon Nov 29 11:11:13 2021	1638164473	57	35	92	35
Mon Nov 29 11:11:11 2021	1638164471	78	14	92	13
Mon Nov 29 11:11:10 2021	1638164470	63	29	92	26
Mon Nov 29 11:11:11 2021	1638164471	57	35	92	34
Mon Nov 29 11:11:13 2021	1638164473	53	39	92	38
Mon Nov 29 11:11:11 2021	1638164471	83	9	92	9
Mon Nov 29 11:11:11 2021	1638164471	63	30	92	27
Mon Nov 29 11:11:11 2021	1638164471	82	10	92	10
Mon Nov 29 11:11:13 2021	1638164473	55	37	92	37
Mon Nov 29 11:11:12 2021	1638164472	65	28	93	28
Mon Nov 29 11:11:13 2021	1638164473	89	4	93	3
Mon Nov 29 11:11:12 2021	1638164472	44	49	93	44
Mon Nov 29 11:11:12 2021	1638164472	62	31	94	31
Mon Nov 29 11:11:11 2021	1638164471	93	1	94	1
Mon Nov 29 11:11:13 2021	1638164473	65	28	94	28
Mon Nov 29 11:11:12 2021	1638164472	67	27	94	26
Mon Nov 29 11:11:13 2021	1638164473	51	43	94	43
Mon Nov 29 11:11:11 2021	1638164471	61	33	94	27
Mon Nov 29 11:11:13 2021	1638164473	48	46	94	46
Mon Nov 29 11:11:13 2021	1638164473	92	2	94	2
Mon Nov 29 11:11:10 2021	1638164470	61	34	95	33
Mon Nov 29 11:11:13 2021	1638164473	60	35	95	29
Mon Nov 29 11:11:11 2021	1638164471	91	5	95	4
