starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 02:46:31 2021	1638134191	105	1	107	1
Mon Nov 29 02:46:31 2021	1638134191	135	5	140	5
Mon Nov 29 02:46:31 2021	1638134191	102	48	150	21
Mon Nov 29 02:46:31 2021	1638134191	168	1	169	1
Mon Nov 29 02:46:31 2021	1638134191	169	2	172	2
Mon Nov 29 02:46:32 2021	1638134192	173	2	174	2
Mon Nov 29 02:46:32 2021	1638134192	174	2	176	2
Mon Nov 29 02:46:32 2021	1638134192	176	5	181	5
Mon Nov 29 02:46:32 2021	1638134192	176	5	181	5
Mon Nov 29 02:46:32 2021	1638134192	176	5	181	5
Mon Nov 29 02:46:32 2021	1638134192	180	2	182	1
Mon Nov 29 02:46:32 2021	1638134192	176	8	183	7
Mon Nov 29 02:46:32 2021	1638134192	176	9	185	9
Mon Nov 29 02:46:31 2021	1638134191	187	6	193	6
Mon Nov 29 02:46:31 2021	1638134191	192	1	193	1
Mon Nov 29 02:46:31 2021	1638134191	88	116	205	116
Mon Nov 29 02:46:31 2021	1638134191	205	4	209	4
Mon Nov 29 02:46:32 2021	1638134192	213	3	216	3
Mon Nov 29 02:46:32 2021	1638134192	216	2	218	2
Mon Nov 29 02:46:31 2021	1638134191	109	117	226	116
Mon Nov 29 02:46:31 2021	1638134191	213	16	230	12
Mon Nov 29 02:46:31 2021	1638134191	214	19	232	14
Mon Nov 29 02:46:31 2021	1638134191	214	19	232	19
Mon Nov 29 02:46:31 2021	1638134191	213	19	233	19
Mon Nov 29 02:46:31 2021	1638134191	214	20	233	19
Mon Nov 29 02:46:32 2021	1638134192	243	4	247	4
Mon Nov 29 02:46:32 2021	1638134192	250	3	253	3
Mon Nov 29 02:46:31 2021	1638134191	202	57	259	57
Mon Nov 29 02:46:31 2021	1638134191	257	8	265	8
Mon Nov 29 02:46:32 2021	1638134192	264	5	269	5
Mon Nov 29 02:46:31 2021	1638134191	159	110	269	109
Mon Nov 29 02:46:31 2021	1638134191	155	114	269	80
Mon Nov 29 02:46:31 2021	1638134191	257	16	273	9
Mon Nov 29 02:46:31 2021	1638134191	214	60	274	60
Mon Nov 29 02:46:32 2021	1638134192	272	2	274	2
Mon Nov 29 02:46:32 2021	1638134192	274	1	275	1
Mon Nov 29 02:46:31 2021	1638134191	257	20	277	18
Mon Nov 29 02:46:31 2021	1638134191	151	127	277	127
Mon Nov 29 02:46:32 2021	1638134192	214	65	278	61
Mon Nov 29 02:46:32 2021	1638134192	276	6	282	6
Mon Nov 29 02:46:32 2021	1638134192	281	3	284	3
Mon Nov 29 02:46:31 2021	1638134191	257	28	285	24
Mon Nov 29 02:46:31 2021	1638134191	157	128	286	125
Mon Nov 29 02:46:32 2021	1638134192	281	5	286	2
Mon Nov 29 02:46:32 2021	1638134192	225	65	289	62
Mon Nov 29 02:46:31 2021	1638134191	258	32	290	31
Mon Nov 29 02:46:31 2021	1638134191	258	32	290	32
Mon Nov 29 02:46:31 2021	1638134191	258	32	290	32
